카테고리번호,HOT/ICE,분류,가격,이름,칼로리(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(g),나트륨(mg),콜레스테롤(mg),카페인(mg),알레르기 유발물질,연령
26,디저트,디저트,2000,저당 초코 생크림 케익,176,22,1,4,8,5,0.1,60,57,,"밀, 대두, 우유, 달걀, 아황산류","어린이, 청소년, 성인, 노인"
27,디저트,디저트,2400,바질 치폴레 치킨 치아바타,435,39,4,18,23,7,0.5미만,1215,73,,"달걀, 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기","어린이, 청소년, 성인, 노인"
28,디저트,디저트,5300,와앙메리칸 뽀득 핫도그,424,28,6,15,28,8,0,870,35,,"알류(달걀), 우유, 대두, 밀, 돼지고기, 토마토, 쇠고기","어린이, 청소년, 성인, 노인"
29,디저트,디저트,2900,버터버터 팥슈크림 패스츄리,689,95,10,12,29,16,0,718,16,,"밀, 대두, 우유, 알류(달걀)","어린이, 청소년, 성인, 노인"
30,디저트,디저트,2900,메가베리 아사이볼,313,68,43,4,3,1,0,12,2,,밀,"어린이, 청소년, 성인, 노인"
31,디저트,디저트,3500,치즈 품은 감자빵,312,41,5,12,11,4,0,559,29,,"밀, 대두, 우유, 계란","어린이, 청소년, 성인, 노인"
32,디저트,디저트,2100,엠지씨네 메가칩,210,26,1,2,11,5,0,223,0,,"밀, 메밀, 우유, 대두","어린이, 청소년, 성인, 노인"
33,디저트,디저트,2100,엠지씨네 와앙 메가칩,526,64,3,5,28,12,0,557,0,,"밀, 메밀, 우유, 대두","어린이, 청소년, 성인, 노인"
34,디저트,디저트,2100,와앙 메가초코 크로칸슈,274,35,20,4,13,5,0.1,97,44,,"우유, 대두, 밀, 계란","어린이, 청소년, 성인, 노인"
35,디저트,디저트,2100,초코 멜로우 샌드,235,35,17,3,9,6,0,140,0,,"밀, 대두, 우유, 달걀, 쇠고기","어린이, 청소년, 성인, 노인"
36,디저트,디저트,3500,로얄 밀크티 스모어 쿠키,552,85,30,9,19,8,0,362,82,,"달걀, 우유, 밀, 돼지고기(젤라틴), 대두","어린이, 청소년, 성인, 노인"
37,디저트,디저트,3500,오로라핑의 유기농 솜사탕,49,12,12,0,0,0,0,0,0,,-,"어린이, 청소년, 성인, 노인"
